DATE_TIME,PLANT_ID,IRRADIATION(W/m²),WIND_SPEED(m/s),CLOUD_COVER(%),AMBIENT_TEMPERATURE(°C),THEORETICAL_MODULE_TEMPERATURE(°C),ACTUAL_MODULE_TEMPERATURE(°C),THEORETICAL_DC_POWER(kW),THEORETICAL_AC_POWER(kW),ACTUAL_DC_POWER(kW),ACTUAL_AC_POWER(kW),DC_EFFICIENCY,AC_EFFICIENCY,INVERTOR_EFFICIENCY,DAILY_YIELD(kWh),TOTAL_YIELD(kWh),THEORETICAL_DC_PER_KWP,THEORETICAL_AC_PER_KWP,DC_RESIDUAL(kW),AC_RESIDUAL(kW)
2020-06-05 12:30:00,4136001,989.7816713333332,4.152777777777778,78.0,33.09526663333333,51.62876857759572,59.620575933333335,22590.84855317302,22034.3409710002,18031.70333333333,17587.506666666668,0.6771070321355758,0.6769695464584821,0.9753657955404843,75266.9625,2676881.9588263817,0.8843550030602082,0.8625696211000274,-4559.145219839687,-4446.8343043335335
2020-06-05 12:45:00,4136001,765.350568275862,4.479166666666667,75.0,33.23081796551725,46.98683806483626,59.0263535862069,17831.43211281934,17397.12601543747,15555.786666666669,15176.906666666668,0.5841340858203725,0.5841819319533665,0.9756437904351135,79061.18916666666,2680676.1854930487,0.6980400122458149,0.6810384034228799,-2275.645446152672,-2220.219348770801
2020-06-05 13:00:00,4136001,733.9340326666664,4.805555555555555,72.0,33.12394726666667,45.80640851889868,52.78040236666666,17188.00197525656,16778.527804553178,14436.37380952381,14092.452380952382,0.5420991042424956,0.5424396577430962,0.9761767440280231,82584.30226190477,2684199.2985882866,0.6728519074283249,0.656822384206427,-2751.628165732751,-2686.075423600796
2020-06-05 13:15:00,4136001,1041.0162006896553,4.569444444444444,65.25,33.690490586206906,52.195800348710776,58.17828634482759,23699.913405361185,23109.124541454243,18667.40523809524,18202.06619047619,0.7009782228988223,0.7006248655432267,0.9750721087540641,87134.81880952381,2688749.815135906,0.9277711256747381,0.9046437479527987,-5032.5081672659435,-4907.058350978052
2020-06-05 13:30:00,4136001,347.0472646666668,4.333333333333333,58.5,32.81328523333334,39.16480911083456,49.790734833333325,8363.019979266901,8201.987547945715,6548.303333333333,6422.21380952381,0.24589480836013633,0.24720065511803077,0.9807447032626482,88740.37226190476,2690355.368588287,0.32738383164090434,0.3210799588156475,-1814.7166459335676,-1779.7737384219054
2020-06-05 13:45:00,4136001,206.2072193333333,4.097222222222222,51.75,30.93428653333333,34.823154413264184,36.944321733333325,5060.587062528405,4971.482227982291,5243.0257142857145,5150.708571428571,0.19688043415442769,0.19825850881685422,0.9823923917432626,90028.0494047619,2691643.045731144,0.19810479790676863,0.19461664623144612,182.43865175730934,179.22634344628023
2020-06-05 14:00:00,4136001,240.5096113793103,3.861111111111111,45.0,29.49830575862069,34.17657090896712,33.69434131034483,5918.3012957366645,5815.939365890896,8337.27,8193.07,0.31307215083653434,0.3153635695567192,0.9827041705498322,92076.3169047619,2693691.313231144,0.23168139736686882,0.2276742754312349,2418.968704263336,2377.130634109104
2020-06-05 14:15:00,4136001,284.8750106666667,3.6736111111111107,38.0,29.638054366666672,35.32106290821905,34.26934706666667,6976.701192737743,6846.938508347832,9925.597142857145,9740.986666666668,0.3727152947968875,0.3749452068887984,0.9814005672874473,94511.56357142856,2696126.5598978107,0.27311415904238573,0.2680343906184315,2948.8959501194013,2894.0481583188357
2020-06-05 14:30:00,4136001,348.28285034482747,3.486111111111111,31.0,30.18035472413793,37.31072324383959,36.60531837931034,8458.777035898587,8292.25636428845,11630.614285714286,11401.65238095238,0.4367402555007447,0.4388667244026975,0.9803138596864023,97361.97666666668,2698976.972993049,0.33113239522014437,0.3246136764254629,3171.8372498156987,3109.39601666393
2020-06-05 14:45:00,4136001,255.71807666666663,3.298611111111111,24.0,30.379783166666662,35.75624732785808,35.84586903333333,6251.265344771064,6142.3774036767745,8641.310476190476,8490.791428571429,0.3244891501447391,0.32682331449333163,0.9825814558991053,99484.67452380952,2701099.670850192,0.24471580915134328,0.24045321603745448,2390.0451314194124,2348.414024894654
2020-06-05 15:00:00,4136001,314.54187310344827,3.1111111111111107,17.0,29.511418655172413,36.307915481089616,35.19934613793103,7671.537004638274,7524.1787741798535,10815.386666666667,10607.64,0.40612770917363944,0.40830399532441886,0.9807915636241699,102136.58452380952,2703751.5808501914,0.30031462143817866,0.2945460471395519,3143.849662028393,3083.461225820146
2020-06-05 15:15:00,4136001,384.3689899999999,3.5833333333333335,25.75,29.535261899999995,37.29872362490405,36.872007466666666,9335.67565115862,9148.465882083412,12778.869047619048,12522.61238095238,0.4798582771094747,0.4820141583841354,0.9799468430491184,105267.23761904762,2706882.23394543,0.3654599980880259,0.3581313713870978,3443.193396460427,3374.1464988689677
2020-06-05 15:30:00,4136001,337.50912999999986,4.055555555555555,34.5,29.23310810344828,35.63259862297805,36.75918268965517,8254.987668700225,8094.467316265453,11285.28380952381,11065.83857142857,0.4237727787451212,0.42594074651188624,0.9805547435227064,108033.69726190476,2709648.693588286,0.3231547335564778,0.3168709068806206,3030.296140823584,2971.371255163118
2020-06-05 15:45:00,4136001,255.2887386666667,4.527777777777778,43.25,29.071617666666665,33.632788627300336,34.94572446666666,6296.161056146806,6186.886220037503,8581.575238095238,8432.635238095238,0.32224603705481775,0.324584795376518,0.9826442120627426,110141.85607142856,2711756.8523978107,0.2464733237873089,0.24219558504746538,2285.414181948432,2245.7490180577342
2020-06-05 16:00:00,4136001,230.2861731034482,5.0,52.0,29.295579379310343,33.18554851957129,34.458113310344835,5690.04908695267,5592.480081521237,7666.677619047619,7535.214761904762,0.28789079062637507,0.2900417334028355,0.982852695303603,112025.65976190475,2713640.6560882865,0.22274609853014954,0.21892660330871938,1976.6285320949492,1942.7346803835253
2020-06-05 16:15:00,4136001,224.7399976666666,5.006944444444444,46.75,29.429052599999995,33.22229278172355,34.010382,5552.167060165016,5457.374543467637,7634.246666666667,7503.906666666667,0.2866729785589259,0.2888366377951686,0.9829269336332683,113901.63642857144,2715516.6327549536,0.2173484854243498,0.21363768030799127,2082.079606501651,2046.5321231990301
2020-06-05 16:30:00,4136001,338.446496,5.013888888888889,41.5,30.14625143333334,35.8540935110802,35.39622016666666,8270.254453494801,8110.426533787496,11258.52238095238,11040.944285714286,0.42276786250727405,0.4249825280657578,0.9806743649054515,116661.8725,2718276.868826382,0.32375237633567433,0.31749565604961816,2988.2679274575785,2930.51775192679
2020-06-05 16:45:00,4136001,399.3899403448275,5.020833333333334,36.25,31.83841051724137,38.56866186062642,41.18944568965517,9648.683493229804,9452.335856965748,13726.013333333332,13446.693333333336,0.515424415507428,0.517583422128035,0.9796503184707192,120023.54583333334,2721638.542159715,0.3777131921405286,0.3700268489710608,4077.329840103528,3994.357476367588
2020-06-05 17:00:00,4136001,288.733524137931,5.027777777777778,31.0,31.014636724137933,35.87628892380001,37.4139605862069,7054.816989729821,6921.754308148019,9899.761904761905,9713.04,0.3717451578626331,0.37386949771541017,0.9811387479256356,122451.80583333332,2724066.802159715,0.2761721272158865,0.2709631751085543,2844.9449150320834,2791.285691851982
2020-06-05 17:15:00,4136001,203.4260188333333,4.861111111111111,25.25,30.78587326666667,34.27816543547926,35.49428416666667,5003.661049276416,4914.036207801767,6758.865714285714,6637.801904761905,0.2538016192814599,0.2554989646977389,0.9820881469404067,124111.2563095238,2725726.252635906,0.19587633780686695,0.1923678296262191,1755.204665009298,1723.7656969601376
2020-06-05 17:30:00,4136001,129.202366,4.694444444444444,19.5,30.21943724137931,32.481779493174095,32.59782675862069,3201.7007515541127,3133.2648435486576,4207.546190476191,4117.610476190476,0.15799722638183095,0.15849301151040707,0.9786251391632288,125140.65892857144,2726755.655254953,0.12533571155036652,0.12265667815809973,1005.8454389220788,984.3456326418186
